rooms,sq_m,floor,floors_all,year,price,area1,area2,area3,area4,area5,area6,area7,area8
3,75.4,4.0,5.0,1977,50000000,0,0,1,0,0,0,0,0
1,43.0,10.0,10.0,2021,24000000,0,0,0,0,0,0,0,1
1,27.5,2.0,4.0,1961,22950000,0,0,1,0,0,0,0,0
2,56.0,12.0,13.0,2021,48000000,0,1,0,0,0,0,0,0
4,159.0,15.0,16.0,2012,42900000,0,0,0,0,0,1,0,0
3,160.0,5.0,9.0,2004,128000000,0,0,0,0,1,0,0,0
3,65.0,9.0,10.0,2019,32500000,0,0,0,0,0,1,0,0
2,43.2,3.0,4.0,1962,25950000,0,1,0,0,0,0,0,0
3,66.0,5.0,5.0,1982,33500000,0,0,0,0,0,0,1,0
7,275.0,5.0,6.0,2000,107000000,1,0,0,0,0,0,0,0
3,83.0,8.0,14.0,2008,64000000,0,0,1,0,0,0,0,0
3,100.0,10.0,10.0,2007,39000000,0,1,0,0,0,0,0,0
2,57.0,7.0,9.0,1987,42000000,0,0,1,0,0,0,0,0
2,58.0,4.0,5.0,2021,30500000,0,0,0,0,0,0,0,1
2,58.0,8.0,10.0,2018,36000000,0,1,0,0,0,0,0,0
2,110.0,14.0,16.0,2004,85000000,0,0,1,0,0,0,0,0
2,46.0,5.0,5.0,1960,39000000,0,0,1,0,0,0,0,0
3,61.2,1.0,2.0,1950,34900000,0,0,0,0,1,0,0,0
3,100.5,3.0,12.0,2007,75700000,1,0,0,0,0,0,0,0
1,45.4,5.0,12.0,2021,23200000,0,0,0,0,0,0,0,0
2,58.7,3.0,12.0,2020,32400000,0,0,0,0,0,0,1,0
2,46.7,8.0,9.0,2021,25000000,0,0,0,0,0,0,1,0
1,40.0,11.0,16.0,2020,31000000,0,0,0,0,0,1,0,0
3,62.0,5.0,5.0,1982,39500000,0,0,1,0,0,0,0,0
1,14.4,4.0,4.0,1963,12800000,0,1,0,0,0,0,0,0
3,72.0,2.0,2.0,1961,30000000,0,0,0,0,0,0,0,1
2,60.0,2.0,5.0,2013,32000000,0,0,0,0,0,0,0,1
3,82.0,9.0,9.0,2006,43000000,0,1,0,0,0,0,0,0
3,70.0,7.0,9.0,1983,46000000,0,1,0,0,0,0,0,0
2,45.0,2.0,5.0,1979,33500000,0,0,1,0,0,0,0,0
2,44.0,4.0,4.0,1962,33000000,1,0,0,0,0,0,0,0
3,100.0,2.0,8.0,1985,70000000,1,0,0,0,0,0,0,0
3,76.6,1.0,7.0,2021,53000000,0,0,0,0,1,0,0,0
2,70.0,7.0,8.0,1975,53500000,0,0,0,0,1,0,0,0
2,52.5,1.0,5.0,2021,38000000,0,0,0,0,1,0,0,0
3,132.0,11.0,16.0,2013,45500000,0,0,0,0,0,1,0,0
3,77.1,8.0,9.0,2015,77000000,0,0,0,0,1,0,0,0
3,59.2,4.0,5.0,1978,41500000,1,0,0,0,0,0,0,0
2,43.2,3.0,4.0,1970,34000000,0,0,1,0,0,0,0,0
2,69.0,3.0,5.0,2013,34500000,0,0,0,0,0,0,0,0
1,40.0,5.0,5.0,2012,18000000,0,0,0,1,0,0,0,0
4,122.5,16.0,19.0,2016,98000000,0,0,1,0,0,0,0,0
2,68.4,9.0,10.0,2005,37500000,0,0,0,1,0,0,0,0
1,44.0,4.0,5.0,2000,33000000,1,0,0,0,0,0,0,0
3,92.6,2.0,3.0,2021,59000000,0,0,0,0,0,0,0,1
2,54.0,1.0,5.0,1980,31500000,0,0,0,1,0,0,0,0
2,40.0,4.0,4.0,1969,26000000,0,0,1,0,0,0,0,0
4,105.0,2.0,5.0,1975,105000000,0,0,0,0,1,0,0,0
2,42.6,1.0,5.0,1979,36000000,1,0,0,0,0,0,0,0
2,60.0,2.0,10.0,2021,38000000,0,1,0,0,0,0,0,0
2,69.0,10.0,10.0,2017,46000000,0,1,0,0,0,0,0,0
3,75.4,2.0,9.0,2006,48500000,0,1,0,0,0,0,0,0
2,118.0,18.0,20.0,2016,145000000,0,0,0,0,1,0,0,0
3,70.0,16.0,17.0,2021,70000000,0,0,1,0,0,0,0,0
2,55.0,3.0,5.0,1992,38500000,1,0,0,0,0,0,0,0
2,111.2,1.0,7.0,2016,107218000,0,0,1,0,0,0,0,0
1,40.0,1.0,9.0,2015,17000000,0,0,0,0,0,1,0,0
3,70.2,5.0,5.0,1986,43000000,0,1,0,0,0,0,0,0
1,33.0,5.0,5.0,1984,18500000,0,0,0,0,1,0,0,0
1,20.0,7.0,9.0,2014,20000000,1,0,0,0,0,0,0,0
3,123.0,4.0,6.0,2011,75000000,0,0,1,0,0,0,0,0
1,45.1,4.0,12.0,2020,28000000,0,0,0,0,0,0,0,0
1,12.0,1.0,4.0,1975,8700000,0,1,0,0,0,0,0,0
